Nation,N,FemaleRespondants,SISE,GDP,HDI,GINI,MARf,MARm,AFR,GGI,SUF,POW,IND,MAS,UNC,Culture
Argentina,53353,72,47.05,14838,.77,48.26,24.60,26.60,58,.68,59,49,46,56,86,SA
Australia,58315,55,48.40,32127,.92,34.01,29.70,31.60,16,.72,104,36,90,61,51,Western
Austria,6709,59,49.43,34803,.87,30.04,26.60,29.50,12,.70,88,11,55,79,70,Western
Belgium,10497,56,47.06,325,.88,28.00,28.40,30.90,11,.71,87,65,75,54,94,Western
Bolivia,2945,64,49.24,2791,.65,56.90,23.30,25.80,79,.63,68,NA,NA,NA,NA,SA
Brazil,4317,38,49.33,8917,.70,55.93,23.10,26.20,78,.65,72,69,38,49,76,SA
Canada,110735,58,48.94,35779,.90,33.90,26.60,28.80,14,.72,89,39,80,52,48,Western
Chile,23953,71,48.99,12737,.78,51.79,24.60,27.70,59,.65,75,63,23,28,86,SA
China,6332,62,51.43,8004,.64,42.48,23.30,25.10,8,.66,57,80,20,66,30,Asian
Colombia,1571,70,51.16,7646,.68,58.66,23.10,26.50,79,.71,52,67,13,64,80,SA
Costa Rica,2798,67,50.48,10747,.73,49.31,22.20,26.00,68,.69,57,35,15,21,86,SA
Denmark,5917,42,49.77,36074,.89,25.98,30.80,32.80,6,.75,91,18,74,16,23,Western
Dominican Rep.,3165,75,50.96,8018,.67,51.90,21.90,26.10,109,.66,64,65,30,65,45,SA
Ecuador,2925,67,50.56,4466,.70,53.20,21.50,24.60,84,.64,77,78,8,63,67,SA
Egypt,2384,68,50.45,4535,.62,32.14,22.00,26.90,49,.58,50,70,25,45,80,African
Finland,9801,55,48.79,32822,.88,28.20,30.30,32.40,10,.80,100,33,63,26,59,Western
France,5205,52,47.67,3015,.87,31.69,31.00,33.00,10,.65,62,68,71,43,86,Western
Germany,57768,57,48.95,31571,.90,31.80,31.00,33.70,10,.75,88,35,67,66,65,Western
Great Britain,130383,49,47.22,3047,.85,38.07,31.80,33.20,26,.74,88,35,89,66,35,Western
Greece,3375,61,48.61,23519,.86,33.96,26.90,31.30,11,.65,57,60,35,57,100,Western
Guatemala,2639,67,50.48,4266,.56,54.89,21.60,23.60,108,.61,60,95,6,37,99,SA
Hong Kong,4595,68,50.04,35396,.86,53.30,30.30,32.80,3,NA,57,68,25,57,29,Asian
India,21093,48,53.16,355,.51,33.40,20.20,24.80,55,.60,56,77,48,56,40,Asian
Indonesia,2794,58,51.08,4753,.58,34.01,22.50,25.90,51,.65,61,78,14,46,48,Asian
Ireland,12017,57,47.49,42859,.90,31.73,31.40,32.40,17,.73,88,28,70,68,35,Western
Israel,2451,56,48.82,24357,.88,41.86,25.80,28.70,14,.69,58,13,54,47,81,Western
Italy,411,55,49.12,29406,.87,37.27,28.90,32.00,7,.65,61,50,76,70,75,Western
Japan,3854,54,49.36,31866,.89,32.10,29.40,31.10,5,.65,61,54,46,95,92,Asian
South Korea,2227,42,50.94,21877,.87,35.80,28.80,32.00,2,.62,58,60,18,39,85,Asian
Malaysia,9444,65,50.23,11915,.74,46.20,25.10,28.60,13,.65,49,100,26,50,36,Asian
Mexico,65378,65,49.91,10604,.75,48.30,22.70,25.00,70,.65,59,81,30,69,82,SA
Netherlands,52716,61,48.03,32062,.90,30.31,30.50,33.00,6,.73,87,38,80,14,53,Western
New Zealand,13835,60,48.58,25655,.90,43.83,25.60,27.00,29,.75,113,22,79,58,49,Western
Norway,11898,56,48.50,44342,.94,26.50,31.80,33.90,9,.80,99,31,69,8,50,Western
Peru,10098,67,50.03,6289,.68,49.07,23.50,26.60,56,.66,51,64,16,42,87,SA
Philippines,18236,74,50.02,516,.62,44.04,24.40,27.00,54,.75,71,94,32,64,44,Asian
Portugal,209,48,47.02,19949,.79,38.50,25.60,28.30,17,.69,75,63,27,31,99,Western
Romania,3031,64,49.54,9446,.76,30.60,25.20,28.60,31,.68,77,90,30,42,90,Western
Singapore,11776,63,49.01,29743,.84,47.80,26.50,30.00,6,.66,61,74,20,48,8,Asian
South Africa,6123,59,49.20,1276,.60,63.10,28.00,30.60,61,.71,76,49,65,63,49,African
Spain,82771,69,47.18,27542,.86,32.00,29.30,31.60,12,.73,75,57,51,42,86,Western
Sweden,13693,51,49.48,31264,.90,26.08,32.40,34.50,6,.81,144,31,71,5,29,Western
Switzerland,7907,57,49.69,33794,.89,28.70,29.50,32.40,5,.70,35,34,68,70,58,Western
Thailand,2018,62,50.37,8877,.66,42.35,24.10,27.40,41,.68,74,64,20,34,64,Asian
Turkey,1706,53,51.51,8385,.68,43.60,23.10,26.10,40,.59,76,66,37,45,85,African
UAE,3325,57,51.58,2761,.82,NA,25.30,26.80,29,.59,0,90,25,50,80,African
USA,87714,63,49.67,43236,.90,41.64,26.90,28.80,40,.70,86,40,91,62,46,Western
Venezuela,9811,73,51.74,6467,.71,44.80,22.70,26.00,90,.67,60,81,12,73,76,SA
